-0.00004783	0.00058925	0.00112603	0.00132848	0.00201824	0.00260382	0.00201824	0.00132848	0.00112603	0.00058925	-0.00004783
0.00058925	0.00283873	0.00250951	-0.00029082	0.00101923	0.00354770	0.00101923	-0.00029082	0.00250951	0.00283873	0.00058925
0.00112603	0.00250951	-0.00892073	-0.02677535	-0.02388455	-0.01440286	-0.02388455	-0.02677535	-0.00892073	0.00250951	0.00112603
0.00132848	-0.00029082	-0.02677535	-0.05118830	-0.01407108	0.02436419	-0.01407108	-0.05118830	-0.02677535	-0.00029082	0.00132848
0.00201824	0.00101923	-0.02388455	-0.01407108	0.11223600	0.20761636	0.11223600	-0.01407108	-0.02388455	0.00101923	0.00201824
0.00260382	0.00354770	-0.01440286	0.02436419	0.20761636	0.33686021	0.20761636	0.02436419	-0.01440286	0.00354770	0.00260382
0.00201824	0.00101923	-0.02388455	-0.01407108	0.11223600	0.20761636	0.11223600	-0.01407108	-0.02388455	0.00101923	0.00201824
0.00132848	-0.00029082	-0.02677535	-0.05118830	-0.01407108	0.02436419	-0.01407108	-0.05118830	-0.02677535	-0.00029082	0.00132848
0.00112603	0.00250951	-0.00892073	-0.02677535	-0.02388455	-0.01440286	-0.02388455	-0.02677535	-0.00892073	0.00250951	0.00112603
0.00058925	0.00283873	0.00250951	-0.00029082	0.00101923	0.00354770	0.00101923	-0.00029082	0.00250951	0.00283873	0.00058925
-0.00004783	0.00058925	0.00112603	0.00132848	0.00201824	0.00260382	0.00201824	0.00132848	0.00112603	0.00058925	-0.00004783
